Code département,Département,Code commune,Commune,Inscrits,Votants,Exprimés,Extrême gauche,Parti communiste,Parti socialiste,Radicaux de gauche,Divers gauche,Ecolo,Divers,Rassemblement pour la République,Union pour la Démocratie Française,Divers droite,Front National,Extrême droite
1,AIN,4,AMBERIEU-EN-BUGEY,6793,4257,4040,194,503,1108,0,122,152,0,1090,0,109,762,0
1,AIN,33,BELLEGARDE-SUR-VALSERINE,5981,3464,3351,128,369,0,0,144,830,0,0,1337,59,484,0
1,AIN,53,BOURG-EN-BRESSE,21936,13582,13053,438,647,4389,0,19,929,0,3643,0,1015,1973,0
1,AIN,283,OYONNAX,10762,6610,6301,224,689,1008,0,136,207,0,2126,0,197,1714,0
2,AISNE,168,CHATEAU-THIERRY,8962,5981,5784,205,759,1613,0,0,200,0,505,1573,67,862,0
2,AISNE,173,CHAUNY,8073,5338,5135,237,0,1012,0,1352,136,0,0,1390,101,907,0
2,AISNE,381,HIRSON,7096,4629,4394,86,562,2038,0,0,254,0,0,605,286,563,0
2,AISNE,408,LAON,15964,10554,10104,467,578,3392,0,1091,268,0,3190,0,0,1118,0
2,AISNE,691,SAINT-QUENTIN,36443,24634,23607,1105,3459,6415,0,0,1199,0,0,7084,427,3918,0
2,AISNE,722,SOISSONS,16258,10848,10446,373,0,2034,0,1991,282,0,0,3772,204,1790,0
2,AISNE,738,TERGNIER,10279,7469,7205,280,0,911,0,3926,123,0,0,931,77,957,0
3,ALLIER,95,CUSSET,9375,6641,6241,0,1625,0,1624,0,373,0,0,1426,276,917,0
3,ALLIER,185,MONTLUCON,28890,18866,17983,0,7760,2654,0,0,613,359,0,4344,649,1604,0
3,ALLIER,190,MOULINS,14601,9534,9132,0,1786,2069,0,0,328,0,3891,0,212,846,0
3,ALLIER,310,VICHY,18037,11213,10678,0,881,0,2687,0,642,0,0,3697,661,2110,0
3,ALLIER,321,YZEURE,9538,6722,6356,0,1219,2257,0,0,326,0,1942,0,136,476,0
4,ALPES-DE-HAUTE-PROVENCE,70,DIGNE-LES-BAINS,11029,7191,6859,0,576,2613,0,28,605,34,0,1975,161,867,0
4,ALPES-DE-HAUTE-PROVENCE,112,MANOSQUE,13210,8592,8209,0,806,0,2309,77,386,278,2318,0,282,1753,0
5,HAUTES-ALPES,23,BRIANCON,6782,4271,4053,0,380,837,0,664,310,53,1142,0,132,535,0
5,HAUTES-ALPES,61,GAP,23852,15799,14873,0,1212,4874,0,0,1138,291,5176,0,438,1744,0
6,ALPES-MARITIMES,4,ANTIBES,45603,29128,28291,0,1620,4089,0,0,1522,418,0,11778,2227,6502,135
6,ALPES-MARITIMES,12,BEAUSOLEIL,8494,4742,4564,123,376,792,0,20,157,34,1027,935,75,1002,23
6,ALPES-MARITIMES,27,CAGNES-SUR-MER,25974,17383,16904,243,1041,2686,0,44,553,332,4119,0,3795,3811,280
6,ALPES-MARITIMES,29,CANNES,46227,29053,27992,0,1828,0,3547,72,1679,435,0,7051,5131,8130,119
6,ALPES-MARITIMES,30,LE CANNET,26790,16728,16289,0,978,0,0,178,3763,89,0,4734,2690,3750,107
6,ALPES-MARITIMES,33,CARROS,6106,4104,3953,92,974,716,0,19,129,90,455,0,408,1033,37
6,ALPES-MARITIMES,69,GRASSE,23901,15889,15393,0,1389,0,0,158,4713,97,0,2093,3650,3234,59
6,ALPES-MARITIMES,79,MANDELIEU-LA-NAPOULE,11815,8343,8073,0,412,0,755,8,375,77,0,1968,2591,1869,18
6,ALPES-MARITIMES,83,MENTON,19191,12960,12631,293,764,2095,0,33,369,40,4655,1594,167,2579,42
6,ALPES-MARITIMES,85,MOUGINS,10001,6471,6271,0,217,0,0,31,1790,42,0,1313,1403,1440,35
6,ALPES-MARITIMES,88,NICE,225733,128139,123582,1762,10215,25734,0,1276,6801,1960,18411,18140,7375,31088,820
6,ALPES-MARITIMES,104,ROQUEBRUNE-CAP-MARTIN,8470,5140,4959,120,220,826,0,12,166,27,1427,1035,91,1022,13
6,ALPES-MARITIMES,123,SAINT-LAURENT-DU-VAR,16797,11263,10882,189,728,1866,0,40,396,210,1520,0,3070,2737,126
6,ALPES-MARITIMES,149,LA TRINITE,6813,4412,4265,36,1641,441,0,43,182,32,0,668,196,1007,19
6,ALPES-MARITIMES,152,VALBONNE,5289,3426,3295,0,160,1020,0,0,382,84,0,910,131,593,15
6,ALPES-MARITIMES,155,VALLAURIS,15154,9478,9178,0,828,1522,0,0,621,127,0,2856,396,2771,57
